target,method,embedding_backend,jsd,pdis,pdiv,clusters,occurrences_c1,occurrences_c2,batches_c1,batches_c2,updates_processed,historical_refreshes,historical_update_threshold,ap_preference_quantile,ap_damping,min_cluster_fraction,c1_only_clusters,c2_only_clusters,mixed_clusters,gold
multitude_nn,widid,bert,0.009777399493289624,0.05388695162146828,0.06875402169432748,2,340,103,5,5,10,0,6,50.0,0.9,0.0,0,1,1,0.1003636619
ounce_nn,widid,bert,0.2190219320104232,0.06250558037589016,0.05169778694476085,2,114,82,5,5,10,0,6,50.0,0.9,0.0,0,0,2,0.2848990681
part_nn,widid,bert,0.24711304369538478,0.03603546036703209,0.01706740184287786,30,4075,2978,5,5,10,0,6,50.0,0.9,0.0,0,15,15,0.161270809
pin_vb,widid,bert,0.022004541389054277,0.03573945221745678,0.004499087985222139,2,69,120,5,5,10,0,6,50.0,0.9,0.0,0,0,2,0.2072118595
plane_nn,widid,bert,0.7157017419543292,0.05395388203525642,0.16510586837589175,13,234,579,5,5,10,0,6,50.0,0.9,0.0,0,11,2,0.8823475834
player_nn,widid,bert,0.34943426177409975,0.12791234331324097,0.1440315433775822,6,72,417,5,5,10,0,6,50.0,0.9,0.0,0,5,1,0.2736674651
prop_nn,widid,bert,0.0,0.05936700339013967,0.0,1,77,69,5,5,10,0,6,50.0,0.9,0.0,0,0,1,0.624759971
quilt_nn,widid,bert,0.006883389383029105,0.15134906384465852,0.11686047386580116,3,68,146,5,5,10,0,6,50.0,0.9,0.0,0,2,1,0.1231453661
rag_nn,widid,bert,0.0,0.03255894872403875,1.1102230246251565e-16,1,37,108,5,5,10,0,6,50.0,0.9,0.0,0,0,1,0.2765152931
record_nn,widid,bert,0.4323732073407891,0.12442467736320373,0.12870881397616324,8,325,860,5,5,10,0,6,50.0,0.9,0.0,0,6,2,0.4273504707
relationship_nn,widid,bert,0.4157048587982686,0.04173664502623209,0.11078479338783008,7,121,600,5,5,10,0,6,50.0,0.9,0.0,0,6,1,0.0562177896
risk_nn,widid,bert,0.2795806531110625,0.043299926951074874,0.023325331359388225,6,309,636,5,5,10,0,6,50.0,0.9,0.0,0,3,3,0.0
savage_nn,widid,bert,0.01644039193734681,0.024672539233009383,0.01764987474307017,2,517,146,5,5,10,0,6,50.0,0.9,0.0,0,0,2,0.0968689424
stab_nn,widid,bert,0.07969306844235047,0.09850343835794306,0.03999793701661891,2,79,93,5,5,10,0,6,50.0,0.9,0.0,0,1,1,0.4005896829
stroke_vb,widid,bert,0.37119614397228373,0.0876288533488816,0.19981905780942982,5,151,180,5,5,10,0,6,50.0,0.9,0.0,0,4,1,0.1762311532
thump_nn,widid,bert,0.005068998375078883,0.12191892735570287,0.10737145384116797,2,64,99,5,5,10,0,6,50.0,0.9,0.0,0,1,1,0.1429915711
tip_vb,widid,bert,0.19832633343829986,0.06499260586879418,0.054234652786121385,4,48,254,5,5,10,0,6,50.0,0.9,0.0,0,2,2,0.6788987615
tree_nn,widid,bert,0.08127071680465114,0.05178346973280856,0.048732329298054836,11,1032,726,5,5,10,0,6,50.0,0.9,0.0,1,6,4,0.070838721
twist_nn,widid,bert,0.13715019345528523,0.10444973063958718,0.12264801885376057,3,115,197,5,5,10,0,6,50.0,0.9,0.0,0,2,1,0.3984926634
word_nn,widid,bert,0.12332039606134693,0.017268924187649137,0.013089965985303403,12,1867,1385,5,5,10,0,6,50.0,0.9,0.0,0,3,9,0.1793071623
attack_nn,semi_dynamic_widid,bert,0.22792828458583614,0.03942868412377898,0.024794075662231366,7,446,731,5,5,10,1,6,50.0,0.9,0.0,0,2,5,0.1439699927
bag_nn,semi_dynamic_widid,bert,0.06254563506011257,0.0365903185873,0.08837407015395407,11,159,647,5,5,10,1,6,50.0,0.9,0.0,0,5,6,0.1003636619
ball_nn,semi_dynamic_widid,bert,0.24302215659697968,0.06276133585146759,0.04433675201213266,14,310,722,5,5,10,1,6,50.0,0.9,0.0,1,5,8,0.4093665525
bit_nn,semi_dynamic_widid,bert,0.1840257919643271,0.02862848848612365,0.06472440384320602,16,297,1008,5,5,10,1,6,50.0,0.9,0.0,0,6,10,0.3065766263
chairman_nn,semi_dynamic_widid,bert,0.2671264241964644,0.04975949126953094,0.040859840965893096,8,148,661,5,5,10,1,6,50.0,0.9,0.0,0,2,6,0.0
circle_vb,semi_dynamic_widid,bert,0.10454979100299155,0.06167890423565703,0.11047274916066385,8,407,414,5,5,10,1,6,50.0,0.9,0.0,0,4,4,0.1710871199
contemplation_nn,semi_dynamic_widid,bert,0.004645162577978541,0.08001706543014953,0.05943061169342451,2,220,108,5,5,10,1,6,50.0,0.9,0.0,0,1,1,0.070838721
donkey_nn,semi_dynamic_widid,bert,0.0,0.009611455208758057,1.1102230246251565e-16,1,85,114,5,5,10,1,6,50.0,0.9,0.0,0,0,1,0.1601038896
edge_nn,semi_dynamic_widid,bert,0.07898060026928055,0.019170970986168823,0.04511465092068073,11,340,875,5,5,10,1,6,50.0,0.9,0.0,0,3,8,0.2609655868
face_nn,semi_dynamic_widid,bert,0.10625906132030583,0.013364274518907648,0.038112182732672084,37,3096,3863,5,5,10,1,6,50.0,0.9,0.0,0,6,31,0.137791275
fiction_nn,semi_dynamic_widid,bert,0.16207484121603388,0.0903773484744943,0.0880650287295284,7,165,316,5,5,10,1,6,50.0,0.9,0.0,0,5,2,0.0207232682
gas_nn,semi_dynamic_widid,bert,0.3232906255652197,0.06213137611934094,0.13248719722765984,8,120,625,5,5,10,1,6,50.0,0.9,0.0,0,5,3,0.1595695865
graft_nn,semi_dynamic_widid,bert,0.30233413552988253,0.1187581505826083,0.0919041908279038,3,89,88,5,5,10,1,6,50.0,0.9,0.0,0,2,1,0.5539755971
head_nn,semi_dynamic_widid,bert,0.12810794480240162,0.015402603269198734,0.031443096791524044,39,3207,3839,5,5,10,1,6,50.0,0.9,0.0,0,9,30,0.2952561247
land_nn,semi_dynamic_widid,bert,0.08437768018599545,0.02657118326367469,0.0827582004022696,18,1908,1385,5,5,10,1,6,50.0,0.9,0.0,0,5,13,0.2234476353
lane_nn,semi_dynamic_widid,bert,0.030584927204868384,0.06474405860771637,0.04870503415650508,4,178,214,5,5,10,1,6,50.0,0.9,0.0,0,1,3,0.1037200629
lass_nn,semi_dynamic_widid,bert,0.02233431695001048,0.25078308241144154,0.1813620434072711,3,62,91,5,5,10,1,6,50.0,0.9,0.0,0,2,1,0.2125896937
multitude_nn,semi_dynamic_widid,bert,0.0,0.07432943532882574,3.3306690738754696e-16,1,340,103,5,5,10,1,6,50.0,0.9,0.0,0,0,1,0.1003636619
ounce_nn,semi_dynamic_widid,bert,0.20871960125106115,0.033550268595964994,0.03612890449489059,3,114,82,5,5,10,1,6,50.0,0.9,0.0,0,0,3,0.2848990681
part_nn,semi_dynamic_widid,bert,0.17692778520815722,0.017791209617302517,0.012620233887161436,31,4075,2978,5,5,10,1,6,50.0,0.9,0.0,0,5,26,0.161270809
pin_vb,semi_dynamic_widid,bert,0.02414166656811756,0.03557784305072342,0.004791740601985506,2,69,120,5,5,10,1,6,50.0,0.9,0.0,0,0,2,0.2072118595
plane_nn,semi_dynamic_widid,bert,0.6224168786755737,0.06437946295883501,0.1681642506584816,11,234,579,5,5,10,1,6,50.0,0.9,0.0,0,9,2,0.8823475834
player_nn,semi_dynamic_widid,bert,0.30760586086452557,0.09713812282403855,0.10355196300926567,6,72,417,5,5,10,1,6,50.0,0.9,0.0,0,4,2,0.2736674651
prop_nn,semi_dynamic_widid,bert,0.0,0.05936700339013956,1.1102230246251565e-16,1,77,69,5,5,10,1,6,50.0,0.9,0.0,0,0,1,0.624759971
quilt_nn,semi_dynamic_widid,bert,0.006883389383029105,0.15134906384465852,0.11686047386580123,3,68,146,5,5,10,1,6,50.0,0.9,0.0,0,2,1,0.1231453661
rag_nn,semi_dynamic_widid,bert,0.20192232182207182,0.08544506280455177,0.08945354325231708,5,37,108,5,5,10,1,6,50.0,0.9,0.0,0,2,3,0.2765152931
record_nn,semi_dynamic_widid,bert,0.4525727615367714,0.09520306921021948,0.08967542369426798,9,325,860,5,5,10,1,6,50.0,0.9,0.0,0,5,4,0.4273504707
relationship_nn,semi_dynamic_widid,bert,0.17375851335933445,0.044422694754111536,0.06342609593835512,6,121,600,5,5,10,1,6,50.0,0.9,0.0,0,2,4,0.0562177896
risk_nn,semi_dynamic_widid,bert,0.27425442533287425,0.024065039688199064,0.004531892236487506,7,309,636,5,5,10,1,6,50.0,0.9,0.0,0,1,6,0.0
savage_nn,semi_dynamic_widid,bert,0.01651844390086299,0.04426171251221833,0.0377001884807579,4,517,146,5,5,10,1,6,50.0,0.9,0.0,0,1,3,0.0968689424
stab_nn,semi_dynamic_widid,bert,0.07969306844235047,0.09850343835794317,0.039997937016618634,2,79,93,5,5,10,1,6,50.0,0.9,0.0,0,1,1,0.4005896829
stroke_vb,semi_dynamic_widid,bert,0.2232269929443822,0.08122133704282797,0.10397860508833075,5,151,180,5,5,10,1,6,50.0,0.9,0.0,0,2,3,0.1762311532
thump_nn,semi_dynamic_widid,bert,0.005068998375078883,0.12191892735570287,0.10737145384116803,2,64,99,5,5,10,1,6,50.0,0.9,0.0,0,1,1,0.1429915711
tip_vb,semi_dynamic_widid,bert,0.17439418523221883,0.04593407177497677,0.02090181978383869,5,48,254,5,5,10,1,6,50.0,0.9,0.0,0,2,3,0.6788987615
tree_nn,semi_dynamic_widid,bert,0.08414476402797177,0.03519921906911305,0.01617480692481818,11,1032,726,5,5,10,1,6,50.0,0.9,0.0,1,3,7,0.070838721
twist_nn,semi_dynamic_widid,bert,0.02160344843538975,0.07092468823378184,0.14948856807680722,5,115,197,5,5,10,1,6,50.0,0.9,0.0,0,3,2,0.3984926634
word_nn,semi_dynamic_widid,bert,0.07346440177718927,0.011255303075266565,0.007913224572179967,13,1867,1385,5,5,10,1,6,50.0,0.9,0.0,0,0,13,0.1793071623
