target,method,embedding_backend,jsd,pdis,pdiv,clusters,occurrences_c1,occurrences_c2,batches_c1,batches_c2,updates_processed,historical_refreshes,historical_update_threshold,ap_preference_quantile,ap_damping,min_cluster_fraction,c1_only_clusters,c2_only_clusters,mixed_clusters,gold
land_nn,widid,bert,0.09594730592940426,0.02841153638820526,0.04498475331131374,17,1908,1385,5,5,10,0,5,50.0,0.9,0.0,1,5,11,0.2234476353
lane_nn,widid,bert,0.03724922396940222,0.06595228096958272,0.04963435033477778,4,178,214,5,5,10,0,5,50.0,0.9,0.0,0,1,3,0.1037200629
lass_nn,widid,bert,0.02233431695001048,0.25078308241144165,0.1813620434072711,3,62,91,5,5,10,0,5,50.0,0.9,0.0,0,2,1,0.2125896937
multitude_nn,widid,bert,0.009777399493289624,0.05388695162146828,0.06875402169432748,2,340,103,5,5,10,0,5,50.0,0.9,0.0,0,1,1,0.1003636619
ounce_nn,widid,bert,0.2190219320104232,0.06250558037589016,0.05169778694476085,2,114,82,5,5,10,0,5,50.0,0.9,0.0,0,0,2,0.2848990681
part_nn,widid,bert,0.24711304369538478,0.03603546036703209,0.01706740184287786,30,4075,2978,5,5,10,0,5,50.0,0.9,0.0,0,15,15,0.161270809
pin_vb,widid,bert,0.022004541389054277,0.03573945221745678,0.004499087985222139,2,69,120,5,5,10,0,5,50.0,0.9,0.0,0,0,2,0.2072118595
plane_nn,widid,bert,0.7157017419543292,0.05395388203525642,0.16510586837589175,13,234,579,5,5,10,0,5,50.0,0.9,0.0,0,11,2,0.8823475834
player_nn,widid,bert,0.34943426177409975,0.12791234331324097,0.1440315433775822,6,72,417,5,5,10,0,5,50.0,0.9,0.0,0,5,1,0.2736674651
prop_nn,widid,bert,0.0,0.05936700339013967,0.0,1,77,69,5,5,10,0,5,50.0,0.9,0.0,0,0,1,0.624759971
quilt_nn,widid,bert,0.006883389383029105,0.15134906384465852,0.11686047386580116,3,68,146,5,5,10,0,5,50.0,0.9,0.0,0,2,1,0.1231453661
rag_nn,widid,bert,0.0,0.03255894872403875,1.1102230246251565e-16,1,37,108,5,5,10,0,5,50.0,0.9,0.0,0,0,1,0.2765152931
record_nn,widid,bert,0.4323732073407891,0.12442467736320373,0.12870881397616324,8,325,860,5,5,10,0,5,50.0,0.9,0.0,0,6,2,0.4273504707
relationship_nn,widid,bert,0.4157048587982686,0.04173664502623209,0.11078479338783008,7,121,600,5,5,10,0,5,50.0,0.9,0.0,0,6,1,0.0562177896
risk_nn,widid,bert,0.2795806531110625,0.043299926951074874,0.023325331359388225,6,309,636,5,5,10,0,5,50.0,0.9,0.0,0,3,3,0.0
savage_nn,widid,bert,0.01644039193734681,0.024672539233009383,0.01764987474307017,2,517,146,5,5,10,0,5,50.0,0.9,0.0,0,0,2,0.0968689424
stab_nn,widid,bert,0.07969306844235047,0.09850343835794306,0.03999793701661891,2,79,93,5,5,10,0,5,50.0,0.9,0.0,0,1,1,0.4005896829
stroke_vb,widid,bert,0.37119614397228373,0.0876288533488816,0.19981905780942982,5,151,180,5,5,10,0,5,50.0,0.9,0.0,0,4,1,0.1762311532
thump_nn,widid,bert,0.005068998375078883,0.12191892735570287,0.10737145384116797,2,64,99,5,5,10,0,5,50.0,0.9,0.0,0,1,1,0.1429915711
tip_vb,widid,bert,0.19832633343829986,0.06499260586879418,0.054234652786121385,4,48,254,5,5,10,0,5,50.0,0.9,0.0,0,2,2,0.6788987615
tree_nn,widid,bert,0.08127071680465114,0.05178346973280856,0.048732329298054836,11,1032,726,5,5,10,0,5,50.0,0.9,0.0,1,6,4,0.070838721
twist_nn,widid,bert,0.13715019345528523,0.10444973063958718,0.12264801885376057,3,115,197,5,5,10,0,5,50.0,0.9,0.0,0,2,1,0.3984926634
word_nn,widid,bert,0.12332039606134693,0.017268924187649137,0.013089965985303403,12,1867,1385,5,5,10,0,5,50.0,0.9,0.0,0,3,9,0.1793071623
attack_nn,semi_dynamic_widid,bert,0.4265465408089195,0.021822800058934,0.023063525624263156,76,446,731,5,5,10,2,5,50.0,0.9,0.0,2,21,53,0.1439699927
bag_nn,semi_dynamic_widid,bert,0.2908098971650448,0.010913737389534939,0.01408120005714393,65,159,647,5,5,10,2,5,50.0,0.9,0.0,0,22,43,0.1003636619
ball_nn,semi_dynamic_widid,bert,0.42309664966204075,0.0219293645037697,0.02715438003871995,73,310,722,5,5,10,2,5,50.0,0.9,0.0,4,25,44,0.4093665525
bit_nn,semi_dynamic_widid,bert,0.40907158453018866,0.016078617489425184,0.01947559526948678,93,297,1008,5,5,10,2,5,50.0,0.9,0.0,2,25,66,0.3065766263
chairman_nn,semi_dynamic_widid,bert,0.6066208459421887,0.029307359840720748,0.013018744235166607,62,148,661,5,5,10,2,5,50.0,0.9,0.0,2,34,26,0.0
circle_vb,semi_dynamic_widid,bert,0.28761564618941016,0.015249202324457922,0.049245827242186846,67,407,414,5,5,10,2,5,50.0,0.9,0.0,3,14,50,0.1710871199
contemplation_nn,semi_dynamic_widid,bert,0.3654690956273834,0.008516525580974377,0.029887237500445446,33,220,108,5,5,10,2,5,50.0,0.9,0.0,6,5,22,0.070838721
donkey_nn,semi_dynamic_widid,bert,0.16114263108369542,0.01318542677879675,0.02001110752577874,25,85,114,5,5,10,2,5,50.0,0.9,0.0,1,6,18,0.1601038896
edge_nn,semi_dynamic_widid,bert,0.2675726701426955,0.011609495488261179,0.02166743365218285,80,340,875,5,5,10,2,5,50.0,0.9,0.0,0,28,52,0.2609655868
face_nn,semi_dynamic_widid,bert,0.2388619650825312,0.007224102612194638,0.019547648682261498,355,3096,3863,5,5,10,2,5,50.0,0.9,0.0,8,39,308,0.137791275
fiction_nn,semi_dynamic_widid,bert,0.3331559492889582,0.02800870546215184,0.03236252145494686,44,165,316,5,5,10,2,5,50.0,0.9,0.0,1,17,26,0.0207232682
gas_nn,semi_dynamic_widid,bert,0.5086125363904683,0.02650574484226198,0.0161991621697396,58,120,625,5,5,10,2,5,50.0,0.9,0.0,0,31,27,0.1595695865
graft_nn,semi_dynamic_widid,bert,0.5900400325775976,0.04051644612486338,0.03264925586766093,18,89,88,5,5,10,2,5,50.0,0.9,0.0,0,8,10,0.5539755971
head_nn,semi_dynamic_widid,bert,0.2661850578918905,0.00803206006394852,0.016908954381667368,360,3207,3839,5,5,10,2,5,50.0,0.9,0.0,12,41,307,0.2952561247
land_nn,semi_dynamic_widid,bert,0.28132122972403284,0.00921149551393352,0.031496635222531516,195,1908,1385,5,5,10,2,5,50.0,0.9,0.0,16,30,149,0.2234476353
lane_nn,semi_dynamic_widid,bert,0.3618066085090943,0.030889959822960944,0.03500559655536148,33,178,214,5,5,10,2,5,50.0,0.9,0.0,0,14,19,0.1037200629
lass_nn,semi_dynamic_widid,bert,0.2847252967131668,0.03788266474239921,0.07740033087703295,28,62,91,5,5,10,2,5,50.0,0.9,0.0,1,11,16,0.2125896937
multitude_nn,semi_dynamic_widid,bert,0.33093185663938485,0.012870905338087324,0.024365363353702013,31,340,103,5,5,10,2,5,50.0,0.9,0.0,8,1,22,0.1003636619
ounce_nn,semi_dynamic_widid,bert,0.6140740001861755,0.02113550804526465,0.0415654274451743,22,114,82,5,5,10,2,5,50.0,0.9,0.0,5,5,12,0.2848990681
part_nn,semi_dynamic_widid,bert,0.34131280127312813,0.011261780731134041,0.022460496166217536,314,4075,2978,5,5,10,2,5,50.0,0.9,0.0,21,24,269,0.161270809
pin_vb,semi_dynamic_widid,bert,0.3797011406402042,0.03147954438574774,0.0016309067458626925,20,69,120,5,5,10,2,5,50.0,0.9,0.0,2,6,12,0.2072118595
plane_nn,semi_dynamic_widid,bert,0.7479089707698217,0.09677143017317613,0.03057490627848325,59,234,579,5,5,10,2,5,50.0,0.9,0.0,11,25,23,0.8823475834
player_nn,semi_dynamic_widid,bert,0.5450302290440705,0.06502400558058896,0.059677513722165815,43,72,417,5,5,10,2,5,50.0,0.9,0.0,0,29,14,0.2736674651
prop_nn,semi_dynamic_widid,bert,0.40663173195359636,0.03887363606194927,0.05146984391822565,16,77,69,5,5,10,2,5,50.0,0.9,0.0,0,4,12,0.624759971
quilt_nn,semi_dynamic_widid,bert,0.2974930781022094,0.024396263184392586,0.04556581460550395,29,68,146,5,5,10,2,5,50.0,0.9,0.0,1,14,14,0.1231453661
rag_nn,semi_dynamic_widid,bert,0.3942271150411343,0.0234243771555549,0.024610344446905547,22,37,108,5,5,10,2,5,50.0,0.9,0.0,1,10,11,0.2765152931
record_nn,semi_dynamic_widid,bert,0.5957800000032387,0.0638614398124353,0.05681658552255317,81,325,860,5,5,10,2,5,50.0,0.9,0.0,1,49,31,0.4273504707
relationship_nn,semi_dynamic_widid,bert,0.4219733795648519,0.02048458117764096,0.00334893217830759,53,121,600,5,5,10,2,5,50.0,0.9,0.0,0,25,28,0.0562177896
risk_nn,semi_dynamic_widid,bert,0.3864582791549216,0.022395271183699328,0.010182067985152282,69,309,636,5,5,10,2,5,50.0,0.9,0.0,0,24,45,0.0
savage_nn,semi_dynamic_widid,bert,0.2754360251273429,0.011468178032323806,0.04256029658659144,43,517,146,5,5,10,2,5,50.0,0.9,0.0,6,6,31,0.0968689424
stab_nn,semi_dynamic_widid,bert,0.5116192564438009,0.028706570628702077,0.011972283085815244,22,79,93,5,5,10,2,5,50.0,0.9,0.0,5,6,11,0.4005896829
stroke_vb,semi_dynamic_widid,bert,0.4208336695636339,0.0385458096213348,0.06281758394676898,29,151,180,5,5,10,2,5,50.0,0.9,0.0,2,8,19,0.1762311532
thump_nn,semi_dynamic_widid,bert,0.27685866461334196,0.015167880327268013,0.04120350155049457,17,64,99,5,5,10,2,5,50.0,0.9,0.0,1,5,11,0.1429915711
tip_vb,semi_dynamic_widid,bert,0.49005754230491405,0.03721906529674612,0.022004042426518183,31,48,254,5,5,10,2,5,50.0,0.9,0.0,0,17,14,0.6788987615
tree_nn,semi_dynamic_widid,bert,0.2419911091599669,0.009642566869008773,0.0320475338166457,128,1032,726,5,5,10,2,5,50.0,0.9,0.0,9,29,90,0.070838721
twist_nn,semi_dynamic_widid,bert,0.2334512630079697,0.013331490023627879,0.004314279131391596,39,115,197,5,5,10,2,5,50.0,0.9,0.0,1,10,28,0.3984926634
word_nn,semi_dynamic_widid,bert,0.20797657136976788,0.008759396014743515,0.02797104631667216,164,1867,1385,5,5,10,2,5,50.0,0.9,0.0,7,12,145,0.1793071623
