target,method,embedding_backend,jsd,pdis,pdiv,clusters,occurrences_c1,occurrences_c2,batches_c1,batches_c2,historical_refreshes,c1_only_clusters,c2_only_clusters,mixed_clusters,gold
record_nn,semi_dynamic_widid,bert,0.6806993522715459,0.07084941424987501,0.04715242630742264,328,325,860,5,5,10,65,250,13,0.4273504707
relationship_nn,semi_dynamic_widid,bert,0.3093965465830988,0.04053039805304548,0.02682185204288312,55,121,600,5,5,10,12,34,9,0.0562177896
risk_nn,semi_dynamic_widid,bert,0.4881505369598753,0.04776438265549654,0.028408048181051693,99,309,636,5,5,10,14,73,12,0.0
savage_nn,semi_dynamic_widid,bert,0.2070891494777043,0.03791244891690082,0.013015967348755403,50,517,146,5,5,10,20,22,8,0.0968689424
stab_nn,semi_dynamic_widid,bert,0.586454289453012,0.04092344927092806,0.0405036118347574,36,79,93,5,5,10,12,19,5,0.4005896829
stroke_vb,semi_dynamic_widid,bert,0.6013909862446329,0.040525457443285395,0.04860173408880131,99,151,180,5,5,10,38,53,8,0.1762311532
thump_nn,semi_dynamic_widid,bert,0.13873476856555067,0.03713023434058227,0.03878599177816708,16,64,99,5,5,10,6,5,5,0.1429915711
tip_vb,semi_dynamic_widid,bert,0.6753727911550982,0.03223187919746706,0.002094064434697507,114,48,254,5,5,10,22,85,7,0.6788987615
tree_nn,semi_dynamic_widid,bert,0.22243054268480567,0.027730938873007593,0.0196866844717416,80,1032,726,5,5,10,28,41,11,0.070838721
twist_nn,semi_dynamic_widid,bert,0.3890845519565671,0.03000750234216476,0.03544191259363377,88,115,197,5,5,10,26,53,9,0.3984926634
word_nn,semi_dynamic_widid,bert,0.233904189244452,0.02080114987936099,0.02464952055317149,306,1867,1385,5,5,10,122,117,67,0.1793071623
