target,method,embedding_backend,jsd,pdis,pdiv,clusters,occurrences_c1,occurrences_c2,batches_c1,batches_c2,updates_processed,historical_refreshes,historical_update_threshold,ap_preference_quantile,ap_damping,min_cluster_fraction,c1_only_clusters,c2_only_clusters,mixed_clusters,gold
player_nn,widid,bert,0.34943426177409975,0.12791234331324097,0.1440315433775822,6,72,417,5,5,10,0,8,50.0,0.9,0.0,0,5,1,0.2736674651
prop_nn,widid,bert,0.0,0.05936700339013967,0.0,1,77,69,5,5,10,0,8,50.0,0.9,0.0,0,0,1,0.624759971
quilt_nn,widid,bert,0.006883389383029105,0.15134906384465852,0.11686047386580116,3,68,146,5,5,10,0,8,50.0,0.9,0.0,0,2,1,0.1231453661
rag_nn,widid,bert,0.0,0.03255894872403875,1.1102230246251565e-16,1,37,108,5,5,10,0,8,50.0,0.9,0.0,0,0,1,0.2765152931
record_nn,widid,bert,0.4323732073407891,0.12442467736320373,0.12870881397616324,8,325,860,5,5,10,0,8,50.0,0.9,0.0,0,6,2,0.4273504707
relationship_nn,widid,bert,0.4157048587982686,0.04173664502623209,0.11078479338783008,7,121,600,5,5,10,0,8,50.0,0.9,0.0,0,6,1,0.0562177896
risk_nn,widid,bert,0.2795806531110625,0.043299926951074874,0.023325331359388225,6,309,636,5,5,10,0,8,50.0,0.9,0.0,0,3,3,0.0
savage_nn,widid,bert,0.01644039193734681,0.024672539233009383,0.01764987474307017,2,517,146,5,5,10,0,8,50.0,0.9,0.0,0,0,2,0.0968689424
stab_nn,widid,bert,0.07969306844235047,0.09850343835794306,0.03999793701661891,2,79,93,5,5,10,0,8,50.0,0.9,0.0,0,1,1,0.4005896829
stroke_vb,widid,bert,0.37119614397228373,0.0876288533488816,0.19981905780942982,5,151,180,5,5,10,0,8,50.0,0.9,0.0,0,4,1,0.1762311532
thump_nn,widid,bert,0.005068998375078883,0.12191892735570287,0.10737145384116797,2,64,99,5,5,10,0,8,50.0,0.9,0.0,0,1,1,0.1429915711
tip_vb,widid,bert,0.19832633343829986,0.06499260586879418,0.054234652786121385,4,48,254,5,5,10,0,8,50.0,0.9,0.0,0,2,2,0.6788987615
tree_nn,widid,bert,0.08127071680465114,0.05178346973280856,0.048732329298054836,11,1032,726,5,5,10,0,8,50.0,0.9,0.0,1,6,4,0.070838721
twist_nn,widid,bert,0.13715019345528523,0.10444973063958718,0.12264801885376057,3,115,197,5,5,10,0,8,50.0,0.9,0.0,0,2,1,0.3984926634
word_nn,widid,bert,0.12332039606134693,0.017268924187649137,0.013089965985303403,12,1867,1385,5,5,10,0,8,50.0,0.9,0.0,0,3,9,0.1793071623
attack_nn,semi_dynamic_widid,bert,0.26655622556306824,0.032843889278725835,0.04905129448841576,10,446,731,5,5,10,1,8,50.0,0.9,0.0,0,3,7,0.1439699927
bag_nn,semi_dynamic_widid,bert,0.11204873800754234,0.03384562942199931,0.042365262951673685,14,159,647,5,5,10,1,8,50.0,0.9,0.0,0,5,9,0.1003636619
ball_nn,semi_dynamic_widid,bert,0.25890451035082807,0.03844340741624863,0.06397225970545933,15,310,722,5,5,10,1,8,50.0,0.9,0.0,0,5,10,0.4093665525
bit_nn,semi_dynamic_widid,bert,0.17168251285995328,0.027441022539197335,0.05879804113647366,17,297,1008,5,5,10,1,8,50.0,0.9,0.0,0,6,11,0.3065766263
chairman_nn,semi_dynamic_widid,bert,0.27965348816444946,0.050233711339429554,0.04541211813923639,10,148,661,5,5,10,1,8,50.0,0.9,0.0,0,4,6,0.0
circle_vb,semi_dynamic_widid,bert,0.11265712728244459,0.06686225537597845,0.12533861127111617,10,407,414,5,5,10,1,8,50.0,0.9,0.0,0,4,6,0.1710871199
contemplation_nn,semi_dynamic_widid,bert,0.004645162577978541,0.08001706543014953,0.05943061169342467,2,220,108,5,5,10,1,8,50.0,0.9,0.0,0,1,1,0.070838721
donkey_nn,semi_dynamic_widid,bert,0.013284450683372612,0.09835896970686364,0.07008722907178244,2,85,114,5,5,10,1,8,50.0,0.9,0.0,0,1,1,0.1601038896
edge_nn,semi_dynamic_widid,bert,0.0796879348404711,0.02769437934687602,0.03074344710434701,14,340,875,5,5,10,1,8,50.0,0.9,0.0,0,4,10,0.2609655868
face_nn,semi_dynamic_widid,bert,0.10351686463450349,0.010585102524040768,0.027100757079037058,42,3096,3863,5,5,10,1,8,50.0,0.9,0.0,0,5,37,0.137791275
fiction_nn,semi_dynamic_widid,bert,0.12533250102465265,0.04710174397929723,0.05900662754986591,5,165,316,5,5,10,1,8,50.0,0.9,0.0,0,2,3,0.0207232682
gas_nn,semi_dynamic_widid,bert,0.353084540275455,0.045028110475487715,0.06771791575281069,12,120,625,5,5,10,1,8,50.0,0.9,0.0,0,6,6,0.1595695865
graft_nn,semi_dynamic_widid,bert,0.26772937179622286,0.08566193447393344,0.028286680651983476,2,89,88,5,5,10,1,8,50.0,0.9,0.0,0,1,1,0.5539755971
head_nn,semi_dynamic_widid,bert,0.12007776981436002,0.012852935802324161,0.0204157203586314,44,3207,3839,5,5,10,1,8,50.0,0.9,0.0,0,7,37,0.2952561247
land_nn,semi_dynamic_widid,bert,0.0885012731615995,0.025893252974904413,0.08498134373664581,18,1908,1385,5,5,10,1,8,50.0,0.9,0.0,0,6,12,0.2234476353
lane_nn,semi_dynamic_widid,bert,0.22481836137779698,0.059247973670107146,0.04644358610500475,5,178,214,5,5,10,1,8,50.0,0.9,0.0,0,2,3,0.1037200629
lass_nn,semi_dynamic_widid,bert,0.0,0.024742873798899723,0.0,1,62,91,5,5,10,1,8,50.0,0.9,0.0,0,0,1,0.2125896937
multitude_nn,semi_dynamic_widid,bert,0.009777399493289624,0.05388695162146806,0.06875402169432748,2,340,103,5,5,10,1,8,50.0,0.9,0.0,0,1,1,0.1003636619
ounce_nn,semi_dynamic_widid,bert,0.2004942991078965,0.033938503840779455,0.03792776033855119,3,114,82,5,5,10,1,8,50.0,0.9,0.0,0,0,3,0.2848990681
part_nn,semi_dynamic_widid,bert,0.1965151716478113,0.01545873252626695,0.02186903251912009,37,4075,2978,5,5,10,1,8,50.0,0.9,0.0,0,5,32,0.161270809
pin_vb,semi_dynamic_widid,bert,0.01996222970481032,0.035957836982651314,0.004701200387038584,2,69,120,5,5,10,1,8,50.0,0.9,0.0,0,0,2,0.2072118595
plane_nn,semi_dynamic_widid,bert,0.6626272715871404,0.043384154028140665,0.033898293720906914,8,234,579,5,5,10,1,8,50.0,0.9,0.0,0,3,5,0.8823475834
player_nn,semi_dynamic_widid,bert,0.3342201699007519,0.09027701298678348,0.07618277389637157,7,72,417,5,5,10,1,8,50.0,0.9,0.0,0,3,4,0.2736674651
prop_nn,semi_dynamic_widid,bert,0.13322097822819168,0.12194802310086628,0.09069380723467149,4,77,69,5,5,10,1,8,50.0,0.9,0.0,0,2,2,0.624759971
quilt_nn,semi_dynamic_widid,bert,0.03647145069253499,0.06649832607473127,0.09318877793001058,5,68,146,5,5,10,1,8,50.0,0.9,0.0,0,2,3,0.1231453661
rag_nn,semi_dynamic_widid,bert,0.15266488595671546,0.08474163380561428,0.04119692889435912,5,37,108,5,5,10,1,8,50.0,0.9,0.0,1,2,2,0.2765152931
record_nn,semi_dynamic_widid,bert,0.43367373786147034,0.10839137909972496,0.08839441105631933,14,325,860,5,5,10,1,8,50.0,0.9,0.0,0,9,5,0.4273504707
relationship_nn,semi_dynamic_widid,bert,0.15280951948126598,0.030178065025486367,0.045787921772030685,10,121,600,5,5,10,1,8,50.0,0.9,0.0,0,3,7,0.0562177896
risk_nn,semi_dynamic_widid,bert,0.2502686531170588,0.03063562258530783,0.00013794194199853727,10,309,636,5,5,10,1,8,50.0,0.9,0.0,0,2,8,0.0
savage_nn,semi_dynamic_widid,bert,0.02851315055650394,0.043310659907155546,0.038126467897848584,4,517,146,5,5,10,1,8,50.0,0.9,0.0,0,1,3,0.0968689424
stab_nn,semi_dynamic_widid,bert,0.10332339129267643,0.06288599618735935,0.004531831419038179,2,79,93,5,5,10,1,8,50.0,0.9,0.0,0,0,2,0.4005896829
stroke_vb,semi_dynamic_widid,bert,0.26702357648359687,0.11206682122302525,0.08467284349404518,6,151,180,5,5,10,1,8,50.0,0.9,0.0,0,3,3,0.1762311532
thump_nn,semi_dynamic_widid,bert,0.010175361785110831,0.10528063816102551,0.10178768971363757,3,64,99,5,5,10,1,8,50.0,0.9,0.0,0,2,1,0.1429915711
tip_vb,semi_dynamic_widid,bert,0.24340585885420696,0.05926572078635595,0.05690508631100369,6,48,254,5,5,10,1,8,50.0,0.9,0.0,0,4,2,0.6788987615
tree_nn,semi_dynamic_widid,bert,0.08464192235403845,0.020368959614446958,0.007486130430450766,15,1032,726,5,5,10,1,8,50.0,0.9,0.0,2,2,11,0.070838721
twist_nn,semi_dynamic_widid,bert,0.055181262457486335,0.06100213692549561,0.12716155146859986,5,115,197,5,5,10,1,8,50.0,0.9,0.0,0,2,3,0.3984926634
word_nn,semi_dynamic_widid,bert,0.06920456255112395,0.014756268081910995,0.0022797887782071147,21,1867,1385,5,5,10,1,8,50.0,0.9,0.0,0,2,19,0.1793071623
